barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#96,"Steel,E.W.",Water Supply & Sewerage,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#97,Lewis,  Architects and engneering office prectice,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#98,Satsangi,Managment of rural energy system,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#99,Fisher,Elbs-Wall,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#100,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#101,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#102,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#103,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#104,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#105,Barry.R.,The Costruction of Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#106,Kleeves, New electric pocket book,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#107,Brown,Introduction to business,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#108,Partleurd,National electric code H.B.,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#109,Mohsin,Project Planning and Control,,Vikas Publication,1983,373p,ARC,,,ARC,,95,,,,,,,,
LGARC#110,Sherban,Charles corea,,mimar book  concept media,1983,"580p,",ARC,,,ARC,,180,,,,,,,,
LGARC#111,CALLENDER,TIME SEVER STANDEREDS FOR ARCHITECTURAL DESIGN DATA,,,1982,,ARC,,,ARC,,1343.4,,,,,,,,
LGARC#112,SIMONDS,LandScape Architecture,,mecgrahill,1983,"331p,",ARC,,,ARC,,527.4,,,,,,,,
LGARC#113,Dechiara,H.B.of Architecture Details for Commercial Building,,mecgrahill,1980,"508p,",ARC,,,ARC,,743.4,,,,,,,,
LGARC#114,"Thames,Hudson",(SOM) Strenth of Material,,,1983,"389p,",ARC,,,ARC,,560,,,,,,,,
LGARC#115,Nagraju,Buddhist Architecture of Western India,,,1981,"220p,",ARC,,,ARC,,500,,,,,,,,
LGARC#116,zakas,Life Space,,,1977,"174p,",ARC,,,ARC,,178,,,,,,,,
LGARC#117,Hamburger,Transportation and Trafic Eng.H.B.,,,1982,"636p,",ARC,,,ARC,,990,,,,,,,,
LGARC#118,"Negroponte,nicholas",Computer aids to Design and Architecture,,,1975,"296p,",ARC,,,ARC,,318,,,,,,,,
LGARC#119,"Joseph, Thorndike",The Magnificent Builders,,American Herily Publication,1978,"352p,",ARC,,,ARC,,419.4,,,,,,,,
LGARC#120,MPH,Beautiful Homes vol 8,,American Herily Publication,1978,"120p,",ARC,,,ARC,,60,,,,,,,,
LGARC#121,"Liebring,R,W",Architectural Working Drawing,,JOhn Wiley,1983,"394p,",ARC,,,ARC,,590,,,,,,,,
LGARC#122,Kukreja,Tropical architecture,,TMH,1978,"135p,",ARC,,,ARC,,150,,,,,,,,
LGARC#123,Beddington,Design for Shopping Centre,,,1982,"177p,",ARC,,,ARC,,416,,,,,,,,
LGARC#124,"Anthony,wylson",Design for leisure entertaintment,,,1980,"150p,",ARC,,,ARC,,368,,,,,,,,
LGARC#125,",Smith Peter F",Architecture and  Human dimention,,,1979,"232p,",ARC,,,ARC,,136,,,,,,,,
LGARC#126,poewll,Master pieces of Architecture Drawing,,,1982,"192p,",ARC,,,ARC,,400,,,,,,,,
LGARC#127,Rogery,Corporate Design,,,1983,"240p,",ARC,,,ARC,,360,,,,,,,,
LGARC#128,"Tregenza,p",The Design of Interior Circulation,,Lockwani,1976,"159p,",ARC,,,ARC,,120,,,,,,,,
LGARC#129,Levinsion,Architectural Rendering Fundamentals,,,1983,"252p,",ARC,,,ARC,,279.1,,,,,,,,
LGARC#130,,Design of R.C.C.,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#131,"Dadrs,A.S.",Electrical system for Architecture,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#132,"grover,s",The Architecture of India Islamic,,Vikas Publication,1981,"228p,",ARC,,,ARC,,225,,,,,,,,
LGARC#133,"grover,s",The Architecture of India Buddhist & Hindu,,Vikas Publication,1980,"231p,",ARC,,,ARC,,275,,,,,,,,
LGARC#134,"Gallion,B",The Urban Pattern,,,1984,"451p,",ARC,,,ARC,,125,,,,,,,,
LGARC#135,Hambley,Cities of Mughal India,,New Delhi,1977,"168p,",ARC,,,ARC,,100,,,,,,,,
LGARC#136,Armstrong,Record Interiors 1983,,,1983,"160p,",ARC,,,ARC,,118.4,,,,,,,,
LGARC#137,Levinson,Architectural rendering fundamentals,,McGraw Hill New Delhi,1983,252p,ARC,,,ARC,,273.1,,,,,,,,
LGARC#138,"Chiara,j.",time Saver Standerd for Building Type,,,1983,"1277p,",ARC,,,ARC,,356.4,,,,,,,,
LGARC#139,"Clough,R,H.",Construction Contracting,,,1981,"502p,",ARC,,,ARC,,386.75,,,,,,,,
LGARC#140,"Mclaughlin,R.K.",Heating Services  Design,,London,1981,"445p,",ARC,,,ARC,,407.5,,,,,,,,
LGARC#141,"Melaragne,M.G.",Wind in architectural &Environmental Design,,,1982,"684p,",ARC,,,ARC,,434.35,,,,,,,,
LGARC#142,"Brown,Percy",Indian architecture Islamic,,,1981,"134p,",ARC,,,ARC,,170,,,,,,,,
LGARC#143,Hammer,Water Supply  & Sanitary Engg.,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#144,Prewitt/Fardo,"Instrumentation ,Transducers ,experimentation",,Orient Longman,1981,219p,ARC,,,ARC,,75,,,,,,,,
LGARC#145,Arora,Tomb cathedral  Architecture ensemble in Agra,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#146,Kriendlier,Wood working,,,1984,190p,ARC,,,ARC,,75,,,,,,,,
LGARC#147,"Brown,Percy",Indian architecture Buddhist & Hindus,,,1983,"216p,",ARC,,,ARC,,249,,,,,,,,
LGARC#148,"Brown,Percy",Indian architecture Islamic,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#149,Devid Hicks,Living With design,,,1976,"287p,,",ARC,,,ARC,,356.4,,,,,,,,
LGARC#150,Suckle A.,By their own design,,Granada,1980,160p,ARC,,,ARC,,195.6,,,,,,,,
LGARC#151,Hepler,Architecture drafting & designing,,,1977,"568p,,",ARC,,,ARC,,415,,,,,,,,
LGARC#152,NBO,Journal of national building org.& in Resional housing Centre Escape,,,1974,"62p,",ARC,,,ARC,,1.5,,,,,,,,
