barcode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issueinglibrary,subject,price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
SC##020097,"Mishra, S.",Communication Skills For Engineers,,Pearson Education,2007,257,,,,SCGRANT,,175,,,,,,,,
SC##020098,"Mishra, S.",Communication Skills For Engineers,,Pearson Education,2007,257,,,,SCGRANT,,175,,,,,,,,
SC##020099,"Mishra, S.",Communication Skills For Engineers,,Pearson Education,2007,257,,,,SCGRANT,,175,,,,,,,,
SC##020100,Raman/Sharma,Technical Communication,,Oxford Publication,2007,599,,,,SCGRANT,,250,,,,,,,,
SC##020101,Raman/Sharma,Technical Communication,,Oxford Publication,2007,599,,,,SCGRANT,,250,,,,,,,,
SC##020102,"Thomson, A.J.",A Practical English Grammar,,Oxford Publication,2007,383,,,,SCGRANT,,110,,,,,,,,
SC##020103,"Thomson, A.J.",A Practical English Grammar,,Oxford Publication,2007,383,,,,SCGRANT,,110,,,,,,,,
SC##020104,"Thomson, A.J.",A Practical English Grammar,,Oxford Publication,2007,383,,,,SCGRANT,,110,,,,,,,,
SC##020105,"Thomson, A.J.",A Practical English Grammar,,Oxford Publication,2007,383,,,,SCGRANT,,110,,,,,,,,
SC##020106,"Mitra, B,K.",Effective Technnical Communication,,Oxford Publication,2007,224,,,,SCGRANT,,175,,,,,,,,
SC##020107,"Mitra, B,K.",Effective Technnical Communication,,Oxford Publication,2006,224,,,,SCGRANT,,175,,,,,,,,
SC##020108,"Mitra, B,K.",Effective Technnical Communication,,Oxford Publication,2006,224,,,,SCGRANT,,175,,,,,,,,
SC##020109,"Mitra, B,K.",Effective Technnical Communication,,Oxford Publication,2006,224,,,,SCGRANT,,175,,,,,,,,
